graph_id,family,method,model_name,prompt_file,timestamp,k,num_physical_qubits,compression_ratio,optimal_energy,approximation_ratio,gradient_norm_at_opt,success,convergence_iters,duration_seconds,llm_tags,llm_reasoning,git_commit
d_regular_8_0,d_regular,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-29T18:36:46.318477+00:00,2,4,2.0,-1.9999998786519881,0.625,0.002546,True,,,low_order_sufficient,"The graph is sparse with low degree and no clustering, making k=2 sufficient.",4c4ef0b
d_regular_8_1,d_regular,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-29T18:38:00.080961+00:00,2,4,2.0,-2.528081086653232,0.87734,0.004202,True,,,low_order_sufficient,"The graph is sparse with low density and degree, making k=2 sufficient for efficient encoding while avoiding barren plat",4c4ef0b
erdos_renyi_8_0,erdos_renyi,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-29T18:39:17.125287+00:00,2,4,2.0,-2.9450423751717505,0.789377,0.002863,True,,,low_order_sufficient,The graph is moderately dense with a density of 0.571429 and average degree of 4.0. Using k=2 allows efficient compressi,4c4ef0b
erdos_renyi_8_1,erdos_renyi,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-29T18:40:31.392722+00:00,2,4,2.0,-1.8284269068935832,0.71269,0.005908,True,,,low_order_sufficient,"The graph is not highly dense and has a moderate degree range, making k=2 suitable for efficient representation while av",4c4ef0b
erdos_renyi_8_42,erdos_renyi,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-29T18:41:47.658999+00:00,2,4,2.0,-2.2560757148261765,0.723431,0.001694,True,,,gradient_risk,The graph is dense with a density of 0.642857 and high average degree. Using k=2 allows efficient compression while avoi,4c4ef0b
erdos_renyi_8_0,erdos_renyi,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-30T02:19:54.633211+00:00,2,4,2.0,-2.9450423751717505,0.789377,0.002863,True,,,low_order_sufficient,The graph is moderately dense with a density of 0.571429 and average degree of 4.0. Using k=2 allows efficient use of qu,a20ccbe
bipartite_12_0,bipartite,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-30T02:29:40.662729+00:00,2,6,2.0,0.433824990199442,0.489671,0.000897,True,,,low_order_sufficient,"The graph is bipartite with moderate density and degree, making k=2 suitable for efficient encoding while avoiding barre",a20ccbe
bipartite_12_1,bipartite,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-30T02:31:29.455138+00:00,2,6,2.0,-2.3215984247448156,0.582914,0.013703,True,,,low_order_sufficient,"The graph is bipartite with low density and small size, making k=2 sufficient for efficient encoding while avoiding barr",a20ccbe
bipartite_12_2,bipartite,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-30T02:33:25.632948+00:00,2,6,2.0,-0.8271990173093685,0.517983,0.003145,True,,,low_order_sufficient,The graph is bipartite with moderate density and average degree. Using k=2 allows efficient compression while maintainin,a20ccbe
bipartite_8_0,bipartite,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-30T02:34:45.136240+00:00,2,4,2.0,-2.7714653776275937,0.625976,0.016076,True,,,low_order_sufficient,"The graph is bipartite with moderate density and low average degree, making it suitable for k=2 encoding without signifi",a20ccbe
bipartite_8_1,bipartite,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-30T02:35:55.486908+00:00,1,4,2.0,-0.8740546255025279,0.572838,0.000482,True,,,low_order_sufficient,"The graph is bipartite with low density and small size, making k=1 sufficient.",a20ccbe
bipartite_8_2,bipartite,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-30T02:37:14.657574+00:00,2,4,2.0,-0.42016413299471844,0.521008,0.000703,True,,,low_order_sufficient,"The graph is bipartite with low density and average degree, making k=2 suitable for efficient encoding without significa",a20ccbe
community_12_0,community,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-30T02:39:08.661293+00:00,2,6,2.0,-2.7060880103240312,0.731097,0.003411,True,,,low_order_sufficient,"The graph has moderate density and a community structure, suggesting k=2 is appropriate to balance qubit efficiency and ",a20ccbe
community_12_1,community,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-30T02:41:02.737430+00:00,2,6,2.0,-3.818998919635862,0.805214,0.003893,True,,,low_order_sufficient,"The graph has moderate density and a community structure, suggesting k=2 is sufficient for capturing correlations withou",a20ccbe
community_12_2,community,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-30T02:42:57.326059+00:00,2,6,2.0,-1.205089494494931,0.730127,0.001239,True,,,low_order_sufficient,"The graph has a community structure and moderate density, making k=2 suitable for capturing correlations without excessi",a20ccbe
community_8_0,community,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-30T02:44:15.855169+00:00,2,4,2.0,-1.4282848132872856,0.714268,0.002891,True,,,low_order_sufficient,"The graph is relatively sparse with a community structure, making k=2 a suitable choice for balancing qubit efficiency a",a20ccbe
community_8_1,community,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-30T02:45:32.798921+00:00,2,4,2.0,-0.6332147505984227,0.64629,0.000606,True,,,low_order_sufficient,"The graph has a community structure and moderate density, suggesting k=2 is sufficient.",a20ccbe
community_8_2,community,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-30T02:46:52.617108+00:00,2,4,2.0,-1.4061452338650948,0.743296,0.000556,True,,,low_order_sufficient,"The graph is relatively sparse and has a community structure, making k=2 a suitable choice for balancing qubit efficienc",a20ccbe
d_regular_12_0,d_regular,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-30T02:48:46.613910+00:00,2,6,2.0,0.33082443406119344,0.552162,0.002797,True,,,low_order_sufficient,"The graph is regular with low density and moderate size, making k=2 a suitable choice for efficient encoding while avoid",a20ccbe
d_regular_12_1,d_regular,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-30T02:50:41.347010+00:00,2,6,2.0,-2.5606785119115747,0.642521,0.003252,True,,,low_order_sufficient,"The graph is regular with low density and moderate size, making k=2 a suitable choice for efficient compression while ma",a20ccbe
d_regular_12_2,d_regular,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-30T02:52:37.262797+00:00,2,6,2.0,-1.192672810282045,0.599771,0.001472,True,,,low_order_sufficient,"The graph is regular with low density and moderate size, making k=2 a suitable choice for efficient encoding while avoid",a20ccbe
d_regular_8_2,d_regular,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-30T02:53:56.263746+00:00,2,4,2.0,-2.009826549602216,0.834152,0.002373,True,,,low_order_sufficient,"The graph is sparse with low density and degree, making k=2 sufficient for efficient encoding while avoiding barren plat",a20ccbe
erdos_renyi_12_0,erdos_renyi,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-30T02:55:52.146686+00:00,2,6,2.0,0.8639133888964933,0.706224,0.003097,True,,,gradient_risk,"The graph is dense with a high degree mean and standard deviation, indicating a complex structure that benefits from hig",a20ccbe
erdos_renyi_12_1,erdos_renyi,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-30T02:57:49.964361+00:00,2,6,2.0,-0.20611301912297564,0.610687,0.008792,True,,,low_order_sufficient,The graph is moderately dense with a degree mean of 3.83 and average clustering coefficient of 0.375. Given these charac,a20ccbe
erdos_renyi_12_2,erdos_renyi,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-30T02:59:43.337807+00:00,2,6,2.0,-0.7996383120881836,0.755549,0.006249,True,,,gradient_risk,"The graph is dense with a high degree mean and standard deviation, suggesting a higher-order encoding (k=2) to capture t",a20ccbe
erdos_renyi_8_2,erdos_renyi,llm_pce,Qwen/Qwen2.5-32B-Instruct,default,2026-06-30T03:00:58.311866+00:00,2,4,2.0,-1.5102337582597143,0.768223,0.004336,True,,,gradient_risk,"The graph is dense with high modularity, suggesting k=2 for better compression while monitoring gradient risk.",a20ccbe
erdos_renyi_8_42,erdos_renyi,test,2
